"k.vec" "diffStat.vec"
0.14 0.00711459890258622
0.15 -0.102184131130485
0.05 3.54170349405313
0.02 2.11300149018294
0.04 3.75485301853862
0.11 0.459158581880691
0.1 1.3340441231562
0.05 2.80081672875241
0.09 1.68393931399689
0.19 -0.614484917728574
0.07 3.29279377390223
0.07 1.9110143119687
0.13 0.667923205901442
0.03 2.92451562090849
0.17 -0.276335644098783
0.08 1.12008275693797
0.07 2.171024296376
0.09 1.18962320954885
0.19 -0.34339759165499
0.09 1.80432493677546
0.13 1.03519658536243
0.16 0.255740652000989
0.07 1.75172809868088
0.11 1.67506827162782
0.08 2.18394977186918
0.01 4.45612286238943
0.08 0.773416785977754
0.09 1.5701783197575
0.02 3.25579098283175
0.08 0.461018177002632
0.05 2.12601483560484
0.09 1.22874538509574
0.04 4.21392277538266
0.06 0.710425508380309
0.12 1.85990266669108
0.05 2.03918406430239
0.03 0.494953161431264
0.04 1.88699525797458
0.11 0.699479016499179
0.08 2.01232451935159
0.05 1.81251785252071
0.06 1.36445571446473
0.04 2.39205155099284
0.12 1.47782415934864
0.02 2.80364289309027
0.04 3.95236838146732
0.03 2.97324427192353
0.12 0.45793317841821
0.13 0.915470942157179
0.06 2.01680206528464
0.04 2.95863589627377
0.06 3.08114376885252
0.09 0.699063544553599
0.03 2.89869141294391
0.03 0.973412564176966
0.04 2.83521112009098
0.05 1.68340731888496
0.1 1.14518299309853
0.15 1.44451381550026
0.07 1.79990278710181
0.05 2.63628888319483
0.06 1.15388689158145
0.14 0.989405846311991
0.05 2.33661804237327
0.07 2.3644307850291
0.04 1.66688108653009
0.06 2.66027928395133
0.11 0.549124017379443
0.06 2.83812706457341
0.04 2.16541876798839
0.14 1.62305786979665
0.15 0.752673752152225
0.1 0.0431403145700109
0.12 0.0725643242883586
0.1 0.772803606692553
0.08 2.42836761946821
0.11 0.712833335448831
0.14 0.452480467297944
0.11 1.22268236001404
0.05 1.84328665419165
0.19 -1.27613592991364
0.13 1.77608048533939
0.09 2.2841176701787
0.04 0.652245109380305
0.03 3.47721269701992
0.03 2.81955976659163
0.06 3.41322237653724
0.05 1.94873820951944
0.09 3.10660599091509
0.05 0.539035212411257
0.06 2.0561009357969
0.11 1.50261016500323
0.14 0.689740736137954
0.08 1.84307079980153
0.08 2.05909901956052
0.08 0.691704438023269
0.06 2.36374406243399
0.09 1.03489286104359
0.07 2.49295106196975
0.12 0.163934723538715
0.05 2.93540576142229
0.03 2.81937352054706
0.1 0.357682185719573
0.09 1.66818767416584
0.06 1.5140666845141
0.06 2.04695291213078
0.1 1.00329598080525
0.07 2.43759491709177
0.03 2.07239412181908
0.16 -0.118934813846763
0.01 4.27090164861821
0.05 2.18441681964248
0.09 2.6309794382627
0.06 1.74151703989882
0.07 0.783500815406335
0.07 0.918298061602965
0.07 1.29230686212195
0.06 2.79760756613827
0.06 2.49927960705346
0.11 1.78044532853778
0.09 2.77857990613863
0.11 -0.0867180685677818
0.05 1.84563812989284
0.03 4.08142924949118
0.02 3.15219042665461
