"k.vec" "diffStat.vec"
0.02 35.7483446893788
0.08 27.6069018036072
0.15 12.092120240481
0.13 24.3570260521042
0.15 24.4728336673347
0.07 29.2911022044088
0.07 25.5211863727455
0.02 34.3681122244489
0.1 21.0850901803607
0.04 26.3487054108216
0.06 12.299254509018
0.1 14.7865971943888
0.11 21.798244488978
0.03 36.4110541082164
0.03 24.6589018036072
0.03 22.5525851703407
0.12 14.4119919839679
0.02 30.8449138276553
0.04 20.2450981963928
0.06 21.7128496993988
0.02 25.7962565130261
0.04 17.1568657314629
0.12 18.6040561122244
0.1 24.4406813627255
0.07 29.5456352705411
0.13 18.5153827655311
0.06 23.6586452905812
0.05 30.7157995991984
0.08 22.7826773547094
0.05 13.7298917835671
0.03 25.8642404809619
0.1 15.0600641282565
0.1 21.2718557114228
0.03 15.5700601202405
0.07 17.4816913827655
0.09 21.4488977955912
0.06 31.5844569138277
0.01 15.885498997996
0.03 42.3211543086172
0.07 33.6671983967936
0.18 16.9621402805611
0.07 18.4793346693387
0.04 33.3544769539078
0.1 8.72723046092184
0.1 12.7135150300601
0.06 27.996625250501
0.09 10.6442565130261
0.04 36.3871743486974
0.03 34.09549498998
0.1 23.3083527054108
0.07 24.0178116232465
0.07 21.983871743487
0.03 25.4598476953908
0.07 15.8600080160321
0.38 15.9352785571142
0.01 29.8051462925852
0.05 37.6108857715431
0.03 14.9431422845691
0.05 16.6502124248497
0.14 35.2279679358717
0.07 24.40749498998
0.09 27.4488176352705
0.09 9.83648096192385
0.07 19.2951422845691
0.02 33.6540521042084
0.08 29.8592625250501
0.08 19.8450661322645
0.09 22.9000641282565
0.08 24.5565851703407
0.04 36.6920721442886
0.06 23.2854909819639
0.07 25.4478396793587
0.16 23.4651783567134
0.01 35.938380761523
0.11 17.1372825651303
0.08 20.0746853707415
0.08 8.17270541082164
0.04 10.4175070140281
0.05 28.1385571142285
0.02 24.3691462925852
0.11 18.1729058116232
0.04 9.35246492985972
0.06 22.2846893787575
0.11 20.9185731462926
0.14 19.6628617234469
0.01 43.1543967935872
0.1 24.8551422845691
0.16 12.2718236472946
0.1 20.7786132264529
0.06 25.68749498998
0.06 27.8764488977956
0.08 23.1506452905812
0.05 21.6741963927856
0.1 21.1832064128257
0.06 17.8003286573146
0.06 29.9053947895792
0.05 21.2460921843687
0.09 30.3479839679359
0.05 26.033498997996
0.12 21.5954068136273
