"k.vec" "diffStat.vec"
0.14 -0.785986961324369
0.04 1.63458315707783
0.19 -0.327958272114071
0.13 0.578600558033438
0.05 2.07590032299661
0.05 1.66155635987122
0.09 1.82690559824075
0.07 1.93542973574999
0.07 1.82472413174947
0.09 2.09336638154562
0.09 1.48236569751239
0.08 1.05103036447467
0.16 -0.350008848683276
0.09 1.84246621648762
0.1 2.40237531250956
0.16 1.14278949264882
0.03 2.51124615419408
0.07 2.03224425014933
0.07 1.58049635062669
0.02 3.47897964667353
0.09 2.456265366729
0.04 4.05848851233972
0.09 2.46184797252651
0.18 -1.01069329165242
0.07 1.4254030611115
0.05 3.19350552998783
0.04 2.64448179894008
0.07 2.034517407001
0.05 1.65147233044264
0.07 2.33642033503365
0.07 1.90236389952935
0.04 2.52599493070821
0.07 1.91885192756739
0.12 1.68428410795632
0.14 0.721724435084242
0.06 1.3029706420585
0.08 0.951462273939452
0.02 4.94915148136014
0.13 1.1077160195785
0.06 2.77196005313906
0.08 1.27928874116044
0.14 -0.510572996369228
0.08 3.14485137739062
0.09 0.625334943709696
0.06 2.14700810770563
0.06 2.80845663701148
0.05 3.91457380593044
0.05 4.18549494322579
0.06 3.17489525214962
0.07 1.80920744846696
0.08 1.22004912747619
0.04 3.4689892178212
0.07 2.28578719882438
0.06 2.68855238862503
0.01 3.7888682320326
0.09 1.39946041976474
0.07 1.71447793465889
0.08 1.60704453039529
0.08 0.777120694494901
0.12 -0.149544112494915
0.05 3.42813352139792
0.1 2.32927708289344
0.04 1.70273106234007
0.13 -0.22276077549323
0.11 1.99239905790633
0.15 0.7469392841953
0.04 2.4804754423073
0.03 3.80975357693834
0.1 2.35708887044135
0.09 1.4628920021137
0.05 2.68402040154048
0.08 1.59211237316035
0.11 1.40351389778092
0.04 3.03860612738058
0.04 1.59400921749121
0.14 -0.355945799519425
0.08 0.479692447071549
0.03 2.3486992024644
0.04 1.61280096583439
0.02 2.54537598063857
0.11 2.6551990649202
0.06 2.29547103803412
0.12 0.00486627485685013
0.07 2.3754307629538
0.09 1.74785991160134
0.03 3.78667912467796
0.04 0.606270034501141
0.16 -0.285579178556996
0.04 3.54616384804361
0.13 -0.0170754194093751
0.1 0.555142152388866
0.12 0.806068105360732
0.02 3.40716030656346
0.1 0.919564534706043
0.03 3.79181569507642
0.07 2.06203311109345
0.12 0.708770306353436
0.02 3.79629992676492
0.08 0.990282635383353
0.07 1.39598669225652
0.06 2.18657631865158
0.05 3.67277963979004
0.01 2.10293274248109
0.08 2.24106331532157
0.07 3.38064651068001
0.15 -0.53851372348646
0.05 3.38140868680087
0.05 2.69029355036478
0.12 0.145023586705421
0.16 1.06026434785367
0.06 2.85289876367764
0.16 0.548518478957609
0.06 1.67030992396602
0.05 2.03642284730315
0.08 2.21977969041282
0.06 2.67458106995849
0.07 2.19254287783327
0.02 0.756465530598092
0.04 2.67436235024461
0.09 1.0987246336114
0.08 2.12094703297668
0.09 0.172547886769151
0.11 1.66782377804799
0.04 2.53336167810191
0.11 1.40952916746659
0.21 -1.31076814312451
0.05 1.60422600692079
0.08 2.01657188427571
0.02 3.34298182982037
0.04 2.25259528835819
0.12 1.44327026498728
0.03 3.04335778928693
0.06 3.10268622800782
0.1 0.317566697934968
0.05 2.28640228832543
0.13 1.1366481487176
0.12 0.452107020100882
0.1 0.415611391336388
0.13 0.142537440787387
0.1 0.011786031743578
0.11 0.796869460974801
0.03 3.61880076053396
0.03 1.23835950142725
0.07 0.747188567362648
0.09 2.3302455623252
0.04 2.96891476771821
0.06 3.03477900994164
0.11 1.89959886209842
0.07 1.85650248249277
0.03 2.73418075932891
0.02 3.94269600355263
0.03 3.91763492681684
0.04 1.33873943369521
0.06 2.27334500793917
0.04 3.4132204663214
0.16 1.08932828188585
0.13 1.03986133244797
0.07 2.08406554061216
0.03 2.81932098961141
0.09 1.57352883834392
0.23 -0.0385443352547682
0.03 1.96474104273367
0.06 1.50348504385875
0.04 3.54706738013676
0.12 0.469394473468692
0.1 2.18035283543917
0.04 3.85201137178947
0.11 0.894364012213797
0.06 2.31336402982376
0.19 -0.700032979093286
0.05 2.38692071124191
0.02 0.304174174668481
0.04 4.1491139274118
0.04 3.65774242068381
0.03 3.28365530131531
0.09 0.176882166514075
0.1 0.902008696012468
0.05 3.2937441062835
0.04 3.72664581631146
0.14 0.0149245163715683
0.08 0.829120590138934
0.06 1.62225557914312
0.07 1.54439613654144
0.06 0.34249023913016
0.09 1.44266663678129
0.05 1.71520668200252
0.08 1.99088807717551
0.21 -0.222834318803137
0.12 0.776277334200769
0.12 -0.476000954957373
0.09 1.01218039468522
0.02 2.34895421627927
0.08 2.5506758744915
0.09 1.13631768137698
0.05 3.49725372652361
0.07 1.34464582107789
0.07 2.45839525739255
0.08 2.09361661982089
0.14 1.3590049135603
0.03 2.07705695868879
0.08 2.71996970857424
0.1 0.694270813006656
0.03 2.54008372764901
0.06 1.8141740096555
0.08 2.15600426921234
0.03 3.66530687541713
0.07 1.19592978715037
0.03 3.1327386987381
