"k.vec" "diffStat.vec"
0.09 1.95797983376181
0.18 0.204878289890717
0.18 -0.715301334316368
0.17 -0.597644454867733
0.17 -0.0364650653110263
0.16 0.364500701166688
0.15 -0.822831204479982
0.27 -1.96407055697322
0.13 0.251218215995654
0.19 -0.891548354063062
0.16 -0.108055179520094
0.19 -1.15039215169897
0.07 1.02140578209293
0.22 -1.28086848966157
0.13 -0.278522841237583
0.08 0.760030948466713
0.18 -1.14704067800462
0.16 -0.635209804503606
0.16 -0.654828676306267
0.12 0.578262449829449
0.12 0.0286866664034334
0.11 0.13605512332842
0.14 -0.277812240944453
0.12 0.528929215500495
0.17 -0.551720000708376
0.09 2.11484007293062
0.11 1.02985657697682
0.25 -1.54472278345038
0.26 -2.02694053586472
0.11 1.14895471427806
0.18 -0.494552971212419
0.11 0.144145842526139
0.09 1.55872371046246
0.1 0.149508773501843
0.21 -1.52840476462225
0.15 -0.191232663025198
0.11 0.464937939909896
0.16 -0.276172320644314
0.15 -0.254116013427584
0.11 -0.254618400193963
0.14 -0.639388401657427
0.11 1.21813986674236
0.16 -0.0547515615640692
0.1 0.325189414251459
0.08 2.4949071229917
0.07 0.870544575775135
0.17 -0.917602743036569
0.11 0.250380586349048
0.12 1.77436224618974
0.15 -0.694320478618542
0.19 -1.25015699446588
0.16 -0.645721722280739
0.14 -0.907344883966388
0.15 -0.916538752812716
0.24 -1.26788188726145
0.15 0.105654038207018
0.09 0.43573456012127
0.14 0.289317470959295
0.16 -0.231427424767236
0.14 -0.436320996384686
0.13 0.547241499667401
0.12 0.537715253264609
0.17 -0.485075435313591
0.22 -1.44890158128875
0.12 0.495190028195641
0.23 -2.14310744695679
0.15 -0.110023656945014
0.19 -0.996028564635328
0.24 -1.3511529713428
0.21 -1.28690668193733
0.2 -0.831127271880689
0.1 1.71384851853904
0.11 0.266742540141531
0.06 1.40024265315193
0.13 0.77633273046018
0.28 -1.9578098245519
0.17 -0.760599237679632
0.06 0.981921620644027
0.15 0.00618623400349736
0.1 1.42301051576971
0.16 -0.182281391590773
0.11 0.45476126501299
0.17 0.213108454844883
0.22 -0.717693879658156
0.2 -1.26282554592835
0.14 -0.113185064163105
0.17 -0.606656853209095
0.18 -0.838125347616928
0.11 0.818464451065749
0.15 0.729379625070043
0.12 0.552454478699528
0.16 -0.096934857997365
0.1 0.616508791412904
0.17 -0.453038250323734
0.15 -0.898132868069564
0.24 -1.51361014292793
0.22 -1.29449310415283
0.14 -0.615914714286121
0.16 -0.405051718163211
0.08 0.257901106118005
